AAR,BYDEL,DISTRIKTSNAVN,HUSTYP,FAMILIEGRUPPE,FAMILIETYPE,BRUTTOINDKOM,INDKOMSTKATEGORI,HUSTANDE
2014,1,1. Indre By,1,Enlige,Enlige uden børn,1,-49.999 kr.,593
2014,1,1. Indre By,1,Enlige,Enlige uden børn,2,50.000-99.999 kr.,578
2014,1,1. Indre By,1,Enlige,Enlige uden børn,3,100.000-149.999 kr.,1085
2014,1,1. Indre By,1,Enlige,Enlige uden børn,4,150.000-199.999 kr.,1920
2014,1,1. Indre By,1,Enlige,Enlige uden børn,5,200.000-299.999 kr.,2132
2014,1,1. Indre By,1,Enlige,Enlige uden børn,6,300.000-399.999 kr.,1748
2014,1,1. Indre By,1,Enlige,Enlige uden børn,7,400.000-499.999 kr.,1193
2014,1,1. Indre By,1,Enlige,Enlige uden børn,8,500.000-599.999 kr.,701
2014,1,1. Indre By,1,Enlige,Enlige uden børn,9,600.000-699.999 kr.,426
2014,1,1. Indre By,1,Enlige,Enlige uden børn,10,700.000 kr. og derover,822
2014,1,1. Indre By,2,Enlige,Enlige med børn,1,-49.999 kr.,55
2014,1,1. Indre By,2,Enlige,Enlige med børn,2,50.000-99.999 kr.,34
2014,1,1. Indre By,2,Enlige,Enlige med børn,3,100.000-149.999 kr.,52
2014,1,1. Indre By,2,Enlige,Enlige med børn,4,150.000-199.999 kr.,119
2014,1,1. Indre By,2,Enlige,Enlige med børn,5,200.000-299.999 kr.,218
2014,1,1. Indre By,2,Enlige,Enlige med børn,6,300.000-399.999 kr.,260
2014,1,1. Indre By,2,Enlige,Enlige med børn,7,400.000-499.999 kr.,255
2014,1,1. Indre By,2,Enlige,Enlige med børn,8,500.000-599.999 kr.,189
2014,1,1. Indre By,2,Enlige,Enlige med børn,9,600.000-699.999 kr.,106
2014,1,1. Indre By,2,Enlige,Enlige med børn,10,700.000 kr. og derover,172
2014,1,1. Indre By,4,Par,Par uden børn,1,-49.999 kr.,70
2014,1,1. Indre By,4,Par,Par uden børn,2,50.000-99.999 kr.,64
2014,1,1. Indre By,4,Par,Par uden børn,3,100.000-149.999 kr.,101
2014,1,1. Indre By,4,Par,Par uden børn,4,150.000-199.999 kr.,135
2014,1,1. Indre By,4,Par,Par uden børn,5,200.000-299.999 kr.,445
2014,1,1. Indre By,4,Par,Par uden børn,6,300.000-399.999 kr.,562
2014,1,1. Indre By,4,Par,Par uden børn,7,400.000-499.999 kr.,606
