Gyldig fra,Gyldig til,Kode,Tekst
01-01-1600,31/12/9999,0,Uoplyst (1)
01-01-1600,31/12/9999,5001,Uoplyst (2)
01-01-1600,31/12/9999,5100,Danmark
01-01-1600,31/12/9999,5101,Grønland
01-01-1600,31/12/9999,5102,Udlandet uoplyst
01-01-1600,31/12/9999,5103,Statsløs
01-01-1600,31/12/9999,5104,Finland
01-01-1600,31/12/9999,5105,"Island, ligeret dansk"
01-01-1600,31/12/9999,5106,Island
01-01-1600,31/12/9999,5107,Liechtenstein
01-01-1600,31/12/9999,5108,Luxembourg
01-01-1600,31/12/9999,5109,Monaco
01-01-1600,31/12/9999,5110,Norge
01-01-1600,31/12/9999,5114,Europa uoplyst
01-01-1600,31/12/9999,5115,Kongelig
01-01-1600,31/12/9999,5120,Sverige
01-01-1600,31/12/9999,5122,Albanien
01-01-1600,31/12/9999,5124,Andorra
01-01-1600,31/12/9999,5126,Belgien
01-01-1600,31/12/9999,5128,Bulgarien
01-01-1600,31/12/9999,5129,Tjekkoslovakiet
01-01-1600,31/12/9999,5130,Frankrig
01-01-1600,31/12/9999,5134,Grækenland
01-01-1600,31/12/9999,5140,Nederlandene
01-01-1600,31/12/9999,5142,Irland
01-01-1600,31/12/9999,5150,Italien
01-01-1600,31/12/9999,5151,Serbien og Montenegro
01-01-1600,31/12/9999,5152,Jugoslavien
01-01-1600,31/12/9999,5153,Malta
01-01-1600,31/12/9999,5154,Polen
01-01-1600,31/12/9999,5156,Portugal
01-01-1600,31/12/9999,5158,Rumænien
01-01-1600,31/12/9999,5159,San Marino
01-01-1600,31/12/9999,5160,Schweiz
01-01-1600,31/12/9999,5162,Sovjetunionen
01-01-1600,31/12/9999,5164,Spanien
01-01-1600,31/12/9999,5170,Storbritannien
01-01-1600,31/12/9999,5172,Tyrkiet
01-01-1600,31/12/9999,5174,Ungarn
01-01-1600,31/12/9999,5176,Vatikanstaten
01-01-1600,31/12/9999,5180,Tyskland
01-01-1600,31/12/9999,5182,Østrig
01-01-1600,31/12/9999,5199,Europa uoplyst
01-01-1600,31/12/9999,5202,Algeriet
01-01-1600,31/12/9999,5204,Angola
01-01-1600,31/12/9999,5207,Botswana
01-01-1600,31/12/9999,5213,Burundi
01-01-1600,31/12/9999,5214,Etiopien
01-01-1600,31/12/9999,5215,Comorerne
01-01-1600,31/12/9999,5216,Eritrea
01-01-1600,31/12/9999,5222,Gambia
01-01-1600,31/12/9999,5228,Ghana
01-01-1600,31/12/9999,5230,Ækvatorialguinea
01-01-1600,31/12/9999,5231,Guinea-Bissau
01-01-1600,31/12/9999,5232,Guinea
01-01-1600,31/12/9999,5233,Kap Verde
01-01-1600,31/12/9999,5234,Kenya
01-01-1600,31/12/9999,5235,Lesotho
01-01-1600,31/12/9999,5236,Liberia
01-01-1600,31/12/9999,5238,Libyen
01-01-1600,31/12/9999,5240,Mozambique
01-01-1600,31/12/9999,5242,Madagaskar
01-01-1600,31/12/9999,5243,Mali
01-01-1600,31/12/9999,5244,Marokko
01-01-1600,31/12/9999,5245,Mauritius
01-01-1600,31/12/9999,5246,Nigeria
01-01-1600,31/12/9999,5247,Namibia
01-01-1600,31/12/9999,5248,Marshalløerne
01-01-1600,31/12/9999,5255,Sierra Leone
01-01-1600,31/12/9999,5258,Sudan
01-01-1600,31/12/9999,5259,Swaziland
01-01-1600,31/12/9999,5260,Sydsudan
01-01-1600,31/12/9999,5262,Sydafrika
01-01-1600,31/12/9999,5266,Tanzania
01-01-1600,31/12/9999,5268,Tunesien
01-01-1600,31/12/9999,5269,Uganda
01-01-1600,31/12/9999,5272,Egypten
01-01-1600,31/12/9999,5273,Tuvalu
01-01-1600,31/12/9999,5274,Kiribati
01-01-1600,31/12/9999,5275,Vanuatu
01-01-1600,31/12/9999,5276,Centralafrikanske Republik
01-01-1600,31/12/9999,5277,Cameroun
01-01-1600,31/12/9999,5278,"Congo, Demokratiske Republik"
01-01-1600,31/12/9999,5279,"Congo, Republikken"
01-01-1600,31/12/9999,5281,Benin
01-01-1600,31/12/9999,5282,Elfenbenskysten
01-01-1600,31/12/9999,5283,Gabon
01-01-1600,31/12/9999,5284,Mauretanien
01-01-1600,31/12/9999,5285,Niger
01-01-1600,31/12/9999,5287,Rwanda
01-01-1600,31/12/9999,5288,Senegal
01-01-1600,31/12/9999,5289,Somalia
01-01-1600,31/12/9999,5292,Tchad
01-01-1600,31/12/9999,5293,Togo
01-01-1600,31/12/9999,5294,Burkina Faso
01-01-1600,31/12/9999,5295,Zimbabwe
01-01-1600,31/12/9999,5296,Zambia
01-01-1600,31/12/9999,5297,Malawi
01-01-1600,31/12/9999,5298,Seychellerne
01-01-1600,31/12/9999,5299,Afrika uoplyst
01-01-1600,31/12/9999,5302,Argentina
01-01-1600,31/12/9999,5303,Bahamas
01-01-1600,31/12/9999,5304,Bolivia
01-01-1600,31/12/9999,5305,Barbados
01-01-1600,31/12/9999,5306,Brasilien
01-01-1600,31/12/9999,5308,Guyana
01-01-1600,31/12/9999,5309,Antigua og Barbuda
01-01-1600,31/12/9999,5310,Nauru
01-01-1600,31/12/9999,5311,Skt. Vincent og Grenadinerne
01-01-1600,31/12/9999,5314,Canada
01-01-1600,31/12/9999,5316,Chile
01-01-1600,31/12/9999,5318,Colombia
01-01-1600,31/12/9999,5319,Syd- og Mellemamerika uoplyst
01-01-1600,31/12/9999,5322,Costa Rica
01-01-1600,31/12/9999,5324,Cuba
01-01-1600,31/12/9999,5326,Dominikanske Republik
01-01-1600,31/12/9999,5328,Ecuador
01-01-1600,31/12/9999,5338,Guatemala
01-01-1600,31/12/9999,5339,Grenada
01-01-1600,31/12/9999,5342,Haiti
01-01-1600,31/12/9999,5344,Surinam
01-01-1600,31/12/9999,5345,Dominica
01-01-1600,31/12/9999,5347,Skt. Lucia
01-01-1600,31/12/9999,5348,Honduras
01-01-1600,31/12/9999,5352,Jamaica
01-01-1600,31/12/9999,5354,Mexico
01-01-1600,31/12/9999,5356,Nicaragua
01-01-1600,31/12/9999,5358,Panama
01-01-1600,31/12/9999,5364,Paraguay
01-01-1600,31/12/9999,5366,Peru
01-01-1600,31/12/9999,5372,El Salvador
01-01-1600,31/12/9999,5374,Trinidad og Tobago
01-01-1600,31/12/9999,5376,Uruguay
01-01-1600,31/12/9999,5390,USA
01-01-1600,31/12/9999,5392,Venezuela
01-01-1600,31/12/9999,5395,Vestindiske Øer
01-01-1600,31/12/9999,5397,Nordamerika uoplyst
01-01-1600,31/12/9999,5398,Syd- og Mellemamerika uoplyst
01-01-1600,31/12/9999,5402,Yemen
01-01-1600,31/12/9999,5403,Forenede Arabiske Emirater
01-01-1600,31/12/9999,5404,Afghanistan
01-01-1600,31/12/9999,5406,Bahrain
01-01-1600,31/12/9999,5408,Bhutan
01-01-1600,31/12/9999,5410,Bangladesh
01-01-1600,31/12/9999,5412,Brunei
01-01-1600,31/12/9999,5414,Myanmar
01-01-1600,31/12/9999,5416,Cambodja
01-01-1600,31/12/9999,5418,Sri Lanka
01-01-1600,31/12/9999,5422,Cypern
01-01-1600,31/12/9999,5424,Taiwan
01-01-1600,31/12/9999,5432,Indien
01-01-1600,31/12/9999,5434,Indonesien
01-01-1600,31/12/9999,5435,Østtimor
01-01-1600,31/12/9999,5436,Irak
01-01-1600,31/12/9999,5438,Iran
01-01-1600,31/12/9999,5442,Israel
01-01-1600,31/12/9999,5444,Japan
01-01-1600,31/12/9999,5446,Jordan
01-01-1600,31/12/9999,5448,Kina
01-01-1600,31/12/9999,5452,Kuwait
01-01-1600,31/12/9999,5454,Laos
01-01-1600,31/12/9999,5456,Libanon
01-01-1600,31/12/9999,5457,Maldiverne
01-01-1600,31/12/9999,5458,Malaysia
01-01-1600,31/12/9999,5459,Mongoliet
01-01-1600,31/12/9999,5462,Oman
01-01-1600,31/12/9999,5464,Nepal
01-01-1600,31/12/9999,5466,Nordkorea
01-01-1600,31/12/9999,5468,Vietnam (1)
01-01-1600,31/12/9999,5471,Asien uoplyst
01-01-1600,31/12/9999,5472,Pakistan
01-01-1600,31/12/9999,5474,Filippinerne
01-01-1600,31/12/9999,5478,Saudi-Arabien
01-01-1600,31/12/9999,5482,Singapore
01-01-1600,31/12/9999,5484,Sydkorea
01-01-1600,31/12/9999,5486,Syrien
01-01-1600,31/12/9999,5487,Mellemøsten uoplyst
01-01-1600,31/12/9999,5488,Vietnam (2)
01-01-1600,31/12/9999,5492,Thailand
01-01-1600,31/12/9999,5496,Qatar
01-01-1600,31/12/9999,5499,Asien uoplyst
01-01-1600,31/12/9999,5502,Australien
01-01-1600,31/12/9999,5505,Tonga
01-01-1600,31/12/9999,5508,Fiji
01-01-1600,31/12/9999,5514,New Zealand
01-01-1600,31/12/9999,5522,Samoa
01-01-1600,31/12/9999,5525,Djibouti
01-01-1600,31/12/9999,5526,Belize
01-01-1600,31/12/9999,5534,Papua Ny Guinea
01-01-1600,31/12/9999,5599,Øer i Stillehavet
01-01-1600,31/12/9999,5607,Estland
